rank,uri,,,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
83,spotify:track:7aE1lfskJLMHQnzCCP1zsV,,,"Akhil Sachdeva, Mansheel Gujral","Humsafar (From ""Badrinath Ki Dulhania"")",T-Series,44,132,70,1882005
84,spotify:track:1bxzr3JK05fMTcweGAZUHp,,,"Shilpa Rao, Anirudh Ravichander, Ramajogayya Sastry","Chuttamalle (From ""Devara Part 1"")",T-Series,4,73,42,1862231
85,spotify:track:0M0ANKNzmM4Odd7FNKghzW,,,Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",T-Series,2,102,69,1842313
86,spotify:track:1tCduDqB3J8r90FAxprLzO,,,Arko,Nazm Nazm,Zee Music Company,86,144,51,1839550
87,spotify:track:18YHbIhrleUkKKj2DvEp79,,,"Pritam, KK",Zara Sa,Sony Music Entertainment India Pvt. Ltd.,33,108,116,1838325
88,spotify:track:2PxZSFOv7RebkeSEwQTjr7,,,Mustafa Zahid,Tera Mera Rishta,Vishesh Films Pvt Ltd.,88,146,11,1825757
89,spotify:track:78BWCd70D1X6LMkDZm1UoF,,,Yo Yo Honey Singh,Millionaire,T-Series,3,99,38,1824649
90,spotify:track:0l6g8Z8mqGbGXFOjigYetD,,,"Pritam, Arijit Singh",Hawayein,Sony Music Entertainment India Pvt. Ltd.,51,98,189,1821100
91,spotify:track:5zcfnScTSFGCHGY1yeXWke,,,"Vishal-Shekhar, Kamal Khan",Ishq Sufiyana (Male),T-Series,46,81,26,1815550
92,spotify:track:4bD9z9qa4qg9BhryvYWB7c,,,"Pritam, Tochi Raina, Rekha Bhardwaj",Kabira,T-Series,31,128,297,1807523
93,spotify:track:1d5lpW3gUyq537iuyrb9Lf,,,Aditya Rikhari,Samjho Na,CollabX Productions,23,72,109,1807414
94,spotify:track:2HI1eYwbbiJGqi0XaeByOI,,,"Sanju Rathod, G-SPXRK",Shaky,Sanjay Rathod,94,-1,1,1806519
95,spotify:track:3tgdOveYac7YMEAQD9sGLf,,,"Vishal-Shekhar, Papon, Irshad Kamil",Bulleya,YRF Music,30,92,19,1790105
96,spotify:track:6ygiy70ujkNOYXM1tQuMNe,,,"Karan Aujla, Ikky, Preston Pablo",Admirin' You (feat. Preston Pablo),WM Canada,24,109,94,1789717
97,spotify:track:73K33p4Vyz9koXGqmL5eFs,,,"Sachet Tandon, Parampara Tandon, Kumaar, Sachet-Parampara",Malang Sajna,T-Series,4,138,122,1789642
98,spotify:track:0645eBDehHcqfiF15hscQV,,,"Vishal Mishra, Rashmeet Kaur","Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Netflix Music,5,76,98,1789171
99,spotify:track:4OEBP1iwGmLtcM8UKRLm80,,,"Arijit Singh, Antara Mitra","Itni Si Baat Hain (From ""Azhar"")",T-Series,99,168,32,1788767
100,spotify:track:4UMIv5jd9gK98a39BQRD9X,,,"Pritam, Arijit Singh, Amitabh Bhattacharya",Kesariya,Sony Music Entertainment India Pvt. Ltd.,1,94,149,1780775
101,spotify:track:4tJz5wXpwIvG2KMKPbYWwz,,,"Santhosh Narayanan, Vivek","Kannadi Poove (From ""Retro"")",T-Series,37,43,11,1759558
102,spotify:track:5PUXKVVVQ74C3gl5vKy9Li,,,"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),Warner Music India,1,118,95,1747017
103,spotify:track:02Ck2nLoW3TpgGV6uwvK5Z,,,"Vijai Bulganin, Anurag Kulkarni, Sameera Bharadwaj, Purnachary","Premalo (From ""Court"")",Saregama India Ltd,20,68,10,1742322
104,spotify:track:7eQoMQdE4JqngwYDOqLBU0,,,"dox, JASKARAN, Rita Kim",Superstar,5.5 Records Under Exclusive License to AWAL,70,93,6,1738002
105,spotify:track:52itZ0w0CydihB2JCZEIft,,,"Pritam, Mohit Chauhan, Irshad Kamil",Pee Loon,T-Series,37,89,67,1732159
106,spotify:track:0fAPcsD7qrEAfO2EH0ce4V,,,Shubh,Aura,SHUBH,58,115,15,1731793
107,spotify:track:3be9ACTxtcL6Zm4vJRUiPG,,,yung kai,blue,BMG Rights Management (US) LLC,16,106,24,1721258
108,spotify:track:4XxfOvudrnBRdlgzEaq1sd,,,Diljit Dosanjh,Born to Shine,FAMOUS STUDIOS INC,14,100,99,1706303
109,spotify:track:6y5SuF4NxGkvwpAdqcAkD3,,,"Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Saregama India Ltd,15,90,93,1700936
110,spotify:track:0NXnuTqFQHDsbEIoKIAVCN,,,Josh Brar,Tere Bina Na Guzara E,Speed Records,19,111,32,1699302
111,spotify:track:1UWacd8x8tPPwmrPB1MoBI,,,"Pritam, Arijit Singh",Ae Dil Hai Mushkil Title Track,Sony Music Entertainment India Pvt. Ltd.,79,119,277,1680282
112,spotify:track:4BTPzhEsyW3blWcxcuhLM0,,,"Shankar-Ehsaan-Loy, Shankar Mahadevan, Caralisa Monteiro, Shafqat Amanat Ali",Mitwa,Sony Music Entertainment India Pvt. Ltd.,81,125,40,1678010
113,spotify:track:1PALLCSlHwAI4upY3sMg8u,,,"Aditya Rikhari, Tulsi Kumar, Lijo George-Dj Chetas","Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",T-Series,9,84,29,1676131
114,spotify:track:6FjbAnaPRPwiP3sciEYctO,,,"Pritam, Arijit Singh",Raabta,T-Series,41,114,136,1661191
115,spotify:track:7G5wpuR61ABrT7R1snos7C,,,"Pritam, Arijit Singh",Kalank - Title Track,Zee Music Company,5,80,276,1659332
116,spotify:track:32765xcLM1fd6wQIpkN9A0,,,"Ami Mishra, Kunaal Vermaa",Hasi - Male Version,Sony Music Entertainment India Pvt. Ltd.,77,173,99,1659226
117,spotify:track:2iZeKe5avjtKVmjfSFkpxd,,,"Pritam, Rahat Fateh Ali Khan, Tulsi Kumar, Irshad Kamil",Tum Jo Aaye,T-Series,117,195,9,1644503
118,spotify:track:1eZefeDb8uOsjvcbl1fJrG,,,"Diljit Dosanjh, Badshah, Raj Ranjodh","Naina (From ""Crew"")",Tips Industries Ltd,3,116,63,1641989
119,spotify:track:1smFN2CLqGROu0J0UyvDfL,,,"Pritam, Arijit Singh",Shayad,Sony Music Entertainment India Pvt. Ltd.,1,112,279,1640214
120,spotify:track:4Lo6I7kkHWgAVRmdILLhig,,,"Tanishk Bagchi, Arijit Singh, Afsana Khan, Irshad Kamil","Tu Hain Toh Main Hoon (From ""Sky Force"")",Saregama India Ltd,7,78,17,1637484
121,spotify:track:6rFckZb1cuJYzsZiGHgqks,,,"Karan Aujla, Ikky",52 Bars,Rehaan Records,12,133,38,1622407
122,spotify:track:6GQK4G5o60E8YA18DGpAzv,,,Harshit Saxena,Hale Dil,T-Series,98,178,29,1619927
123,spotify:track:1o8YPl0hyGbpRcHplXNvsm,,,"Sachin-Jigar, Vishal Mishra, Amitabh Bhattacharya","Khoobsurat (From ""Stree 2"")",Saregama India Ltd,5,104,40,1616718
124,spotify:track:5XeFesFbtLpXzIVDNQP22n,,,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,48,113,132,1610435
125,spotify:track:5GQPBzoRBDxcAjwSSluQXD,,,Connie Francis,Pretty Little Baby - Stereo Mix,Universal Records,125,-1,1,1606064
126,spotify:track:5thVzD79BxlDTYy0LfHzvu,,,"Aparshakti Khurana, Savi Kahlon",Zaroor,Sony Music Entertainment India Pvt. Ltd.,13,139,42,1589029
127,spotify:track:7AAap8D4C4pTyNoMkM9vjG,,,"Shankar-Ehsaan-Loy, Diljit Dosanjh",Ishq Di Baajiyaan,Sony Music Entertainment India Pvt. Ltd.,100,163,39,1583105
128,spotify:track:0kYBzFJ5a2Jozi6cI4y9Bp,,,"Jeet Gannguli, Mustafa Zahid",Jo Tere Sang,Sony Music Entertainment India Pvt. Ltd.,128,153,3,1578385
129,spotify:track:0MTdYgTZ25sLCO6kVnDoje,,,"Sai Abhyankkar, Sai Smriti","Aasa Kooda - From ""Think Indie""",Think Music,3,124,48,1564182
130,spotify:track:5JCDVLwteSXuwVqjCa7SwH,,,"Shankar-Ehsaan-Loy, Shreya Ghoshal, Javed Bashir, Yusuf Mohammed, Vajid Ali",O Rangrez,Sony Music Entertainment India Pvt. Ltd.,48,85,29,1558442
131,spotify:track:2C6CJGFLbisteRuY6Plb7b,,,"Danny, Avvy Sra, Sagar",Ve Haaniyaan,Dreamiyata Music,10,156,68,1545333
132,spotify:track:2HNG9q8rXbnijbPTwCMgsb,,,"Atif Aslam, Roop Kumar Rathod, Mithoon, Naresh Sharma","Woh Lamhe Woh Baatein - From ""Zeher""",UME - Global Clearing House,77,77,7,1531406
133,spotify:track:7AsG1F1eMWd17RYan8M3Wm,,,"AP Dhillon, Shinda Kahlon",Dil Nu,RUN-UP RECORDS,33,177,71,1530492
134,spotify:track:29m79w9xPMH4YCD6r8JSmV,,,"AP Dhillon, Gurinder Gill, Intense",Excuses,RUN-UP RECORDS,1,143,187,1524544
135,spotify:track:37AGZMVr5V8mEMcCmGHroZ,,,"Kailash Kher, Paresh Kamath, Naresh Kamath",Saiyyan,Sony Music Entertainment India Pvt. Ltd.,71,164,73,1520567
136,spotify:track:25Nxyrng0Z3jC5Q0hAibpw,,,Karan Aujla,Tauba Tauba,Saregama India Ltd,1,141,46,1519609
137,spotify:track:5OMUXgfXsSukZ0zxelpC3b,,,"A.R. Rahman, Jaswinder Singh, Shiraz Uppal","Raanjhanaa (From ""Raanjhanaa"")",Sony Music Entertainment India Pvt. Ltd.,110,188,40,1519428
138,spotify:track:0cUdmruT6kjxa5KpteSdwc,,,Bayaan,Nahin Milta,rearts records,75,110,9,1514755
139,spotify:track:2S6N9pbnkhQRyAx80HmF79,,,Mohammed Irfan,"Banjaara (From ""Ek Villain"")",T-Series,128,185,54,1513457
140,spotify:track:2L5fXA2pNlTXJvQTeMZn4z,,,"Masoom Sharma, Swara Verma",Lofar,Shikaari Music,25,136,10,1503587
141,spotify:track:7MXVkk9YMctZqd1Srtv4MB,,,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,12,150,199,1501426
142,spotify:track:5UprhHX9Zdm0DeZzbPHbEN,,,"Atif Aslam, Manoj Muntashir",Tere Sang Yaara,Zee Music Company,101,127,44,1499360
143,spotify:track:6jUqTvRGOOyJmhxDQaWpNb,,,Mustafa Zahid,"Zaroorat (From ""Ek Villain"")",T-Series,143,-1,5,1496493
144,spotify:track:23UKXgXmLkT0XyPBeKx2gP,,,"Tanishk Bagchi, Gifty, Harnoor, Shreya Ghoshal, Irshad Kamil","Koi Naa (From ""Bhool Chuk Maaf"")",Sony Music Entertainment India Pvt. Ltd.,86,86,4,1491639
145,spotify:track:4Qu8LlchmRCaPBKBArcNsA,,,"Shankar-Ehsaan-Loy, Shafqat Amanat Ali",Tere Naina,Sony Music Entertainment India Pvt. Ltd.,113,165,19,1489669
146,spotify:track:7EowbMzc9lfsK9fgF6F8cG,,,"Shashwat Sachdev, Sangtar, Manmohan Waris, Kamal Heer, Sukhwinder Amrit","O Shera - Teer Te Taj (Film Version) - From ""Kesari Chapter 2""",Zee Music Company,117,117,2,1486453
147,spotify:track:7qiZfU4dY1lWllzX7mPBI3,,,Ed Sheeran,Shape of You,Atlantic Records UK,63,145,245,1483249
148,spotify:track:5QWuignQQWDlbtQsjKX0Kq,,,"G. V. Prakash, Vivek, Dhanush, Jonita Gandhi","Yedi (From ""Nilavuku En Mel Ennadi Kobam"")",Wunderbar Films,111,123,9,1482523
149,spotify:track:3Kl8p2PxVf8eAayLwTxOIm,,,"Pritam, KK",Dil Ibaadat,Sony Music Entertainment India Pvt. Ltd.,54,160,22,1479715
150,spotify:track:7m4CgL81VVIHaaiSxyH922,,,Yo Yo Honey Singh,Desi Kalakaar,T-Series,13,162,70,1478007
151,spotify:track:7gqmoEWBvt6srOCDgTMEHM,,,"Vedan, AZWIN",MAUNA LOA,Mass Appeal,96,96,3,1476996
152,spotify:track:6egfWbtFFhMToV2DvmEzmo,,,"Bunny, Hunny, Sagar","Tu Hain Toh (From ""Mr. And Mrs. Mahi"")",Sony Music Entertainment India Pvt. Ltd.,8,166,48,1475024
153,spotify:track:6xHPBEvcG0RQDfyTq7jc8P,,,"Cheema Y, Gur Sidhu",Young G.O.A.T,Brown Town Music,72,129,13,1463833
154,spotify:track:1kDZSmw3mKQeAjcmPTLS3M,,,"Pritam, Arijit Singh, Shreya Ghoshal, Amitabh Bhattacharya","Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Saregama India Ltd,9,134,99,1461488
155,spotify:track:1QZRCi2Z1DQQaR6bGAzhtN,,,Yo Yo Honey Singh,Love Dose,T-Series,32,198,51,1456385
156,spotify:track:4sTlQPMyoFMPdhAJvErBN3,,,ATLXS,PASSO BEM SOLTO - Slowed,broke,133,140,7,1455312
